area_type_code,area_code,area_text,state,state_id,area_fips_id
3,0100000,Alabama,AL,01,01
3,0200000,Alaska,AK,02,02
3,0400000,Arizona,AZ,04,04
3,0500000,Arkansas,AR,05,05
3,0600000,California,CA,06,06
3,0800000,Colorado,CO,08,08
3,0900000,Connecticut,CT,09,09
3,1000000,Delaware,DE,10,10
3,1100000,District of Columbia,DC,11,11
3,1200000,Florida,FL,12,12
3,1300000,Georgia,GA,13,13
3,1500000,Hawaii,HI,15,15
3,1600000,Idaho,ID,16,16
3,1700000,Illinois,IL,17,17
3,1800000,Indiana,IN,18,18
3,1900000,Iowa,IA,19,19
3,2000000,Kansas,KS,20,20
3,2100000,Kentucky,KY,21,21
3,2200000,Louisiana,LA,22,22
3,2300000,Maine,ME,23,23
3,2400000,Maryland,MD,24,24
3,2500000,Massachusetts,MA,25,25
3,2600000,Michigan,MI,26,26
3,2700000,Minnesota,MN,27,27
3,2800000,Mississippi,MS,28,28
3,2900000,Missouri,MO,29,29
3,3000000,Montana,MT,30,30
3,3100000,Nebraska,NE,31,31
3,3200000,Nevada,NV,32,32
3,3300000,New Hampshire,NH,33,33
3,3400000,New Jersey,NJ,34,34
3,3500000,New Mexico,NM,35,35
3,3600000,New York,NY,36,36
3,3700000,North Carolina,NC,37,37
3,3800000,North Dakota,ND,38,38
3,3900000,Ohio,OH,39,39
3,4000000,Oklahoma,OK,40,40
3,4100000,Oregon,OR,41,41
3,4200000,Pennsylvania,PA,42,42
3,4400000,Rhode Island,RI,44,44
3,4500000,South Carolina,SC,45,45
3,4600000,South Dakota,SD,46,46
3,4700000,Tennessee,TN,47,47
3,4800000,Texas,TX,48,48
3,4900000,Utah,UT,49,49
3,5000000,Vermont,VT,50,50
3,5100000,Virginia,VA,51,51
3,5300000,Washington,WA,53,53
3,5400000,West Virginia,WV,54,54
3,5500000,Wisconsin,WI,55,55
3,5600000,Wyoming,WY,56,56